"directorId","directorName","movieCount","ratingSum","normalizedMovieRank","googleHits","normalizedGoogleRank","normalizedRating"
"1","Rajkumar Hirani","3","440","10","146000","2.0779600143432617","10"
"2","Farah Khan","4","440","7.394740104675293","1060000","8.883170127868652","8.78472995758057"
"3","Karan Johar","5","430","5.689469814300537","1050000","8.808719635009766","7.10459995269775"
"4","Sajid Khan","4","350","5.796050071716309","905000","7.729119777679443","6.99779987335205"
"5","Rohit Shetty","10","950","6.328949928283691","437000","4.244609832763672","6.83760976791382"
"6","Kabir Khan","3","270","5.973680019378662","666000","5.949639797210693","6.82367992401123"
"7","Anil Sharma","6","390","4.1973700523376465","1110000","9.255450248718262","5.73446989059448"
"8","Farhan Akhtar","4","290","4.730259895324707","742000","6.5154900550842285","5.71972990036011"
"9","Siddharth Anand","5","400","5.263160228729248","312000","3.313920021057129","5.6148099899292"
"10","Anees Bazmee","7","600","5.669169902801514","34400","1.247040033340454","5.60761976242065"
"11","Prabhudheva","4","330","5.440790176391602","153000","2.130079984664917","5.5570502281189"
"12","Shaad Ali","3","240","5.263160228729248","68900","1.503909945487976","5.26122999191284"
"13","Anurag Basu","8","510","4.108550071716309","755000","6.612289905548096","5.13139009475708"
"14","Mohit Suri","8","560","4.5526299476623535","319000","3.366039991378784","4.93099021911621"
"15","Sanjay Leela Bhansali","5","300","3.8421099185943604","790000","6.872879981994629","4.92204999923706"
"16","Imtiaz Ali","5","270","3.41579008102417","1050000","8.808719635009766","4.88381004333496"
"17","Mani Ratnam","3","170","3.605259895324707","921000","7.848239898681641","4.88124990463257"
"18","David Dhawan","11","670","3.9066998958587646","622000","5.622029781341553","4.74078989028931"
"19","Aanand Rai","3","220","4.789470195770264","20700","1.1450400352478027","4.72845983505249"
"20","Ashwani Dhir","3","220","4.789470195770264","5100","1.0288900136947632","4.70577001571655"
"21","Raj Kumar Gupta","3","140","2.894740104675293","1210000","10","4.60759019851685"
"22","Rakeysh Omprakash Mehra","4","280","4.5526299476623535","29900","1.213539958000183","4.51050996780396"
"23","Sanjay Gadhvi","6","410","4.434209823608398","16600","1.1145100593566895","4.37550020217896"
"24","Indra Kumar","7","420","3.8421099185943604","239000","2.770400047302246","4.12063980102539"
"25","Kunal Deshmukh","4","250","4.019740104675293","107000","1.7875900268554688","4.10214996337891"
"26","Kunal Kohli","5","310","3.9842100143432617","112000","1.8248200416564941","4.07472991943359"
"27","Abhishek Kapoor","3","160","3.368419885635376","500000","4.713679790496826","4.03759002685547"
"28","N. Chandra","3","120","2.4210500717163086","1010000","8.510899543762207","3.85403990745544"
"29","Priyadarshan","19","1050","3.505539894104004","277000","3.0533299446105957","3.84717988967896"
"30","Shoojit Sircar","3","180","3.8421099185943604","27800","1.1979000568389893","3.81346011161804"
"31","Ashutosh Gowariker","5","250","3.131580114364624","460000","4.415860176086426","3.7480800151825"
"32","Ram Gopal Varma","17","680","2.4210500717163086","934000","7.945040225982666","3.74349999427795"
"33","Vishal Bhardwaj","5","210","2.563159942626953","769000","6.716519832611084","3.64230990409851"
"34","Abbas Alibhai Burmawalla","10","580","3.700000047683716","4700","1.0259100198745728","3.64106011390686"
"35","Mastan Alibhai Burmawalla","10","580","3.700000047683716","3890","1.0198800563812256","3.63988995552063"
"36","Milan Luthria","7","390","3.5375900268554688","105000","1.7726999521255493","3.62831997871399"
"37","Prakash Jha","7","370","3.334589958190918","227000","2.6810500621795654","3.6074800491333"
"38","Sanjay Gupta","5","180","2.1368401050567627","937000","7.96737003326416","3.47026991844177"
"39","Zoya Akhtar","3","160","3.368419885635376","98600","1.7250499725341797","3.45376992225647"
"40","Madhur Bhandarkar","10","490","3.060529947280884","185000","2.368340015411377","3.27870988845825"
"41","Vipul Amrutlal Shah","5","260","3.2736799716949463","7700","1.0482499599456787","3.22902989387512"
"42","Pooja Bhatt","3","120","2.4210500717163086","487000","4.616889953613281","3.09335994720459"
"43","Anubhav Sinha","6","290","3.013159990310669","64100","1.4681700468063354","3.05660009384155"
"44","Raj Kanwar","5","240","2.9894700050354004","75400","1.5523099899291992","3.04990005493164"
"45","Anurag Kashyap","8","240","1.7105300426483154","928000","7.900360107421875","3.04078006744385"
"46","Krishna D.K.","3","120","2.4210500717163086","418000","4.103149890899658","2.99300003051758"
"47","Vikram Bhatt","16","640","2.4210500717163086","356000","3.6415200233459473","2.90282011032104"
"48","Dibakar Banerjee","5","230","2.847369909286499","42300","1.3058600425720215","2.86296010017395"
"49","Shashilal K. Nair","3","140","2.894740104675293","1480","1.0019400119781494","2.84984993934631"
"50","Rohan Sippy","4","180","2.776319980621338","37000","1.2663999795913696","2.78585004806519"
"51","Sangeeth Sivan","6","270","2.776319980621338","11100","1.0735599994659424","2.74817991256714"
"52","Rajkumar Santoshi","7","310","2.725559949874878","42300","1.3058600425720215","2.74398994445801"
"53","Sagar Ballary","4","180","2.776319980621338","5480","1.0317200422286987","2.74001002311707"
"54","Habib Faisal","3","120","2.4210500717163086","244000","2.807620048522949","2.73992991447449"
"55","Satish Kaushik","9","380","2.5789499282836914","97300","1.7153700590133667","2.68077993392944"
"56","Sujoy Ghosh","4","170","2.598680019378662","59100","1.4309500455856323","2.64449000358582"
"57","Deepak S. Shivdasani","3","130","2.6578900814056396","14700","1.1003700494766235","2.63774991035461"
"58","Milind Ukey","3","130","2.6578900814056396","3030","1.0134799480438232","2.6207799911499"
"59","Dev Anand","4","80","1","1060000","8.883170127868652","2.53876996040344"
"60","Raj Nidimoru","3","120","2.4210500717163086","29900","1.213539958000183","2.42852997779846"
"61","Kookie V. Gulati","3","120","2.4210500717163086","1220","1","2.3868100643158"
"62","Mani Shankar","5","140","1.5684200525283813","542000","5.026390075683594","2.34055995941162"
"63","Nikhil Advani","5","190","2.2789499759674072","53700","1.3907400369644165","2.32434010505676"
"64","Pradeep Sarkar","3","110","2.1842100620269775","67500","1.4934899806976318","2.25187993049622"
"65","Ken Ghosh","3","120","2.4210500717163086","0","0","2.1914598941803"
"66","Samir Karnik","6","220","2.1842100620269775","9420","1.0610500574111938","2.16740989685059"
"67","Arshad Khan","3","60","1","786000","6.843100070953369","2.14024996757507"
"68","Govind Menon","4","140","2.0657899379730225","58700","1.427970051765442","2.12342000007629"
"69","Rajat Kapoor","3","90","1.7105300426483154","278000","3.060770034790039","2.09538006782532"
"70","Rajat Mukherjee","3","100","1.9473700523376465","75000","1.5493299961090088","2.03146004676819"
"71","Apoorva Lakhia","6","190","1.828950047492981","18700","1.1301499605178833","1.83390998840332"
"72","Anant Mahadevan","8","250","1.799340009689331","24800","1.175570011138916","1.81386005878448"
"73","Sriram Raghavan","3","90","1.7105300426483154","79500","1.5828399658203125","1.80666995048523"
"74","Dharmesh Darshan","3","90","1.7105300426483154","23200","1.1636500358581543","1.72478997707367"
"75","Aditya Datt","4","120","1.7105300426483154","11400","1.0757999420166016","1.70762002468109"
"76","Suneel Darshan","4","120","1.7105300426483154","10300","1.0676100254058838","1.70601999759674"
"77","Shashant Shah","3","90","1.7105300426483154","3160","1.0144399404525757","1.6956399679184"
"78","Sudhir Mishra","5","130","1.42631995677948","149000","2.1003000736236572","1.63015997409821"
"79","Harry Baweja","6","170","1.59211003780365","28300","1.2016199827194214","1.61653995513916"
"80","Tigmanshu Dhulia","5","140","1.5684200525283813","36900","1.265660047531128","1.60590994358063"
"81","Kundan Shah","3","80","1.473680019378662","95800","1.704200029373169","1.59905004501343"
"82","Deepak Tijori","5","140","1.5684200525283813","24800","1.175570011138916","1.58831000328064"
"83","Shashanka Ghosh","4","110","1.53288996219635","32800","1.235129952430725","1.56525003910065"
"84","Rahul Rawail","3","80","1.473680019378662","9400","1.0608999729156494","1.47337996959686"
"85","Raksha Mistry","3","80","1.473680019378662","6560","1.0397599935531616","1.46924996376038"
"86","Nagesh Kukunoor","8","210","1.4440799951553345","25900","1.1837600469589233","1.46845996379852"
"87","Mahesh Manjrekar","9","230","1.3947399854660034","57600","1.4197800159454346","1.46638000011444"
"88","Suparn Verma","3","80","1.473680019378662","4190","1.0221099853515625","1.46580004692078"
"89","Ashwini Chaudhary","4","100","1.3552600145339966","71100","1.5202900171279907","1.44746005535126"
"90","Hansal Mehta","5","130","1.42631995677948","22800","1.1606700420379639","1.44660997390747"
"91","Karan Razdan","5","130","1.42631995677948","13800","1.0936599969863892","1.43351995944977"
"92","Eeshwar Nivas","6","150","1.3552600145339966","35100","1.2522499561309814","1.39509999752045"
