"actorId","actorName","movieCount","ratingSum","normalizedMovieRank","googleHits","normalizedGoogleRank","normalizedRating"
"373","Aamir Khan","11","1170","9.448619842529297","2460000","7.342830181121826","10"
"374","Shah Rukh Khan","23","2000","7.5500898361206055","2670000","7.884580135345459","9.22673988342285"
"375","Salman Khan","36","2340","5.402170181274414","3490000","10","9.20820999145508"
"376","Katrina Kaif","17","1640","8.480819702148438","2120000","6.465700149536133","8.94851970672607"
"377","Deepika Padukone","16","1080","5.646739959716797","3000000","8.735910415649414","8.62716007232666"
"378","Hrithik Roshan","16","1120","5.891300201416016","2650000","7.832980155944824","8.25193977355957"
"379","Priyanka Chopra","36","1990","4.451089859008789","3130000","9.071279525756836","8.13685989379883"
"380","Kareena Kapoor","37","2200","4.860159873962402","2940000","8.581119537353516","8.09064960479736"
"381","Ranbir Kapoor","11","890","6.958499908447266","1860000","5.794960021972656","7.69863986968994"
"382","Kajol","6","450","6.380430221557617","1780000","5.588580131530762","7.25156021118164"
"383","John Abraham","27","1370","4.00724983215332","2610000","7.729790210723877","7.11934995651245"
"384","Amitabh Bachchan","48","2140","3.4048900604248047","2770000","8.142560005187988","7.0113000869751"
"385","Sonakshi Sinha","8","730","7.970109939575195","960000","3.4731600284576416","6.95192003250122"
"386","Alia Bhatt","4","340","7.358699798583984","1190000","4.066510200500488","6.94161987304688"
"387","Ajay Devgn","49","2320","3.6752400398254395","2570000","7.6265997886657715","6.87131977081299"
"388","Asin","5","560","10","35900","1.0891799926757812","6.75012016296387"
"389","Farhan Akhtar","6","370","5.076089859008789","1860000","5.794960021972656","6.62579011917114"
"390","Arjun Kapoor","5","320","5.304349899291992","1690000","5.356400012969971","6.50593996047974"
"391","Akshay Kumar","54","2950","4.3876800537109375","1960000","6.0529398918151855","6.38047981262207"
"392","Anushka Sharma","7","500","6.031060218811035","1320000","4.401879787445068","6.37610006332397"
"393","Vidya Balan","16","1040","5.402170181274414","1340000","4.453470230102539","6.04709005355835"
"394","Aishwarya Rai Bachchan","16","780","3.8125","1930000","5.9755401611328125","6.00856018066406"
"395","Ranveer Singh","5","350","5.891300201416016","1120000","3.8859200477600098","6.00239992141724"
"396","Vir Das","8","310","2.834239959716797","2270000","6.852670192718506","5.95092010498047"
"397","Shahid Kapoor","23","1100","3.7221200466156006","1800000","5.640170097351074","5.76591014862061"
"398","Saif Ali Khan","26","1250","3.746659994125366","1760000","5.536980152130127","5.72107982635498"
"399","Anil Kapoor","19","790","3.1109800338745117","1930000","5.9755401611328125","5.6087498664856"
"400","Prakash Raj","7","390","4.493790149688721","1350000","4.479269981384277","5.54407978057861"
"401","Sonam Kapoor","9","490","4.369569778442383","1360000","4.505070209503174","5.48797988891602"
"402","Sanjay Kapoor","8","280","2.4673900604248047","2080000","6.3625102043151855","5.46249008178711"
"403","Jacqueline Fernandez","4","400","8.826089859008789","0",NULL,"5.4603099822998"
"404","Abhishek Bachchan","34","1770","4.136189937591553","1260000","4.247089862823486","5.20794010162354"
